"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
1,399452083E0;8,966531614E-3;6,428099982E-3;1,853625834E-2;2,157109250E-2
1,409510083E0;-1,151983710E-3;-5,345488004E-3;1,883329690E-2;1,961107800E-2
1,419567083E0;1,909417408E-3;-2,174049597E-3;6,557652354E-3;7,167647514E-3
1,429624083E0;8,874246106E-4;2,457475103E-3;3,862670660E-3;4,663360478E-3
1,439681083E0;-8,540744679E-3;-8,163206410E-3;2,216094732E-3;1,202053803E-2
1,449739083E0;-1,535171852E-2;-2,254905626E-3;7,458123565E-3;1,721579124E-2
1,459796083E0;8,225205168E-4;8,136802576E-3;2,347715557E-2;2,486083123E-2
1,469853083E0;-1,047382504E-4;-7,773343306E-3;1,688851297E-2;1,859187206E-2
1,479911083E0;-1,747056674E-3;-8,943261523E-3;1,404325783E-2;1,674058614E-2
1,489968083E0;1,333071979E-2;-4,092959594E-3;1,209613502E-2;1,846014330E-2
1,500025083E0;4,494334403E-3;-8,553252239E-3;2,496878028E-2;2,677306770E-2
1,510082083E0;-1,598628759E-3;-7,484271582E-3;1,553722143E-2;1,731979171E-2
1,520140083E0;1,283766246E-2;-1,826706715E-4;1,972850561E-2;2,353832789E-2
1,530197083E0;-9,048657585E-4;5,805188790E-4;1,793165624E-2;1,796385481E-2
1,540254542E0;3,235099968E-3;6,763492618E-3;1,030103981E-2;1,274057006E-2
1,550312542E0;-5,397034865E-3;-1,539473210E-2;1,314454079E-2;2,095005284E-2
1,560369542E0;-9,735212065E-3;-1,246852957E-2;6,709679961E-3;1,718308438E-2
1,570426542E0;7,292464636E-3;-4,679252598E-3;1,898473978E-2;2,086853588E-2
1,580483542E0;-1,862356458E-3;-7,487670276E-3;1,254754007E-2;1,473004886E-2
1,590541542E0;3,686020793E-3;-9,056003150E-3;2,631656349E-2;2,807417775E-2
1,600598542E0;2,141250372E-2;6,032225210E-3;1,479228616E-2;2,671506665E-2
1,610655542E0;1,926337788E-2;-5,911151301E-3;1,918471456E-3;2,024104666E-2
1,620712542E0;-7,206355250E-3;5,548020937E-3;8,652125001E-3;1,255274310E-2
1,630770542E0;-6,589839449E-3;-9,599172939E-3;2,362158179E-2;2,633532289E-2
1,640827542E0;1,796767144E-3;-1,407790259E-3;1,359360695E-2;1,378391800E-2
1,650884542E0;-1,046810573E-2;-5,012415983E-3;1,104889870E-2;1,602447235E-2
1,660942542E0;-8,930251468E-3;2,204784025E-3;1,329306006E-2;1,616526863E-2
1,670999542E0;1,946739089E-3;-4,509847797E-3;8,950332999E-3;1,020965137E-2
1,681056542E0;-5,506615341E-4;-5,412328988E-3;1,764689684E-3;5,719323639E-3
1,691113542E0;1,070291712E-2;8,927601948E-4;1,628391087E-2;1,950679904E-2
1,701171542E0;2,805749886E-4;-6,846322082E-3;1,538402438E-2;1,684099328E-2
1,711228542E0;-5,577649875E-3;-8,059217334E-3;5,800437927E-3;1,138886484E-2
1,721285542E0;8,475356363E-4;-7,078602724E-3;1,307437420E-3;7,248056690E-3
1,731343542E0;8,518589213E-3;1,092272675E-2;1,058638394E-2;1,743398539E-2
1,741400542E0;3,695266703E-3;-5,050002616E-3;1,851930141E-2;1,954794228E-2
1,751457542E0;4,991000555E-3;-5,451614968E-4;1,402863979E-2;1,490000074E-2
1,761514542E0;1,123025374E-2;-2,098328155E-3;7,889648080E-3;1,388409619E-2
1,771572542E0;-4,530495778E-4;-1,948255710E-3;1,836785853E-2;1,847644937E-2
1,781629542E0;7,940336131E-5;-1,134162493E-2;1,387485802E-2;1,792067092E-2
1,791686542E0;-2,096848078E-3;3,685755841E-3;1,117812216E-2;1,195541647E-2
1,801743542E0;3,161041327E-3;-6,339880116E-3;2,496176362E-3;7,511135639E-3
1,811801542E0;-4,454189613E-3;-1,094374018E-2;1,013322473E-2;1,556558696E-2
1,821858542E0;1,087299800E-2;-1,226471756E-2;5,940186381E-3;1,743362259E-2
1,831915542E0;5,766907800E-3;-7,495454382E-3;1,671894372E-2;1,920838725E-2
1,841973542E0;2,904759692E-3;2,068964168E-3;-3,039382696E-3;4,685732469E-3
1,852030542E0;2,820715103E-3;1,923514679E-3;1,836493492E-2;1,867959253E-2
1,862087542E0;-9,318698449E-3;-2,111557480E-3;9,682989120E-3;1,360356917E-2
1,872144542E0;7,578028031E-3;-4,687712789E-3;1,627046227E-2;1,855071704E-2
1,882202542E0;5,980806258E-3;-2,035748329E-2;1,417306602E-2;2,551613156E-2
1,892259542E0;6,753460988E-3;-1,432100058E-2;7,435319424E-3;1,749240600E-2
1,902316542E0;1,738633029E-4;-7,563154176E-3;-5,438495278E-3;9,317121896E-3
1,912374542E0;2,368030977E-4;-8,282014523E-3;1,027706623E-2;1,320098218E-2
1,922431542E0;-5,370493988E-3;-5,608448256E-3;9,678311348E-3;1,240832817E-2
1,932488542E0;8,621408846E-3;-5,606200732E-4;1,461803913E-2;1,698028426E-2
1,942545542E0;4,670472639E-3;-4,838168956E-3;1,760947466E-2;1,884979552E-2
1,952603542E0;-1,796328602E-3;4,404597916E-4;1,132137895E-2;1,147146122E-2
1,962660542E0;-8,544152509E-3;-3,892327007E-3;2,988278031E-2;3,132304760E-2
1,972717542E0;7,020907151E-3;1,261503886E-2;2,943663776E-2;3,278639940E-2
1,982774542E0;1,227093022E-4;-4,315098971E-3;9,229245186E-3;1,018892062E-2
1,992832542E0;-7,509560790E-4;-1,343052445E-2;1,656340778E-2;2,133751155E-2
2,002889542E0;2,014122767E-2;3,241824266E-3;1,027998984E-2;2,284418236E-2
2,012946542E0;1,103342185E-3;1,368888002E-3;5,342600942E-3;5,624464700E-3
2,023004542E0;9,657855229E-3;4,689339045E-3;5,341431499E-3;1,199145357E-2
2,033061542E0;8,634619899E-3;3,244948871E-3;6,387498379E-3;1,121991486E-2
2,043118542E0;2,066935915E-3;-5,298637189E-3;2,674516439E-2;2,734321851E-2
2,053175542E0;2,466912875E-3;1,254319120E-3;2,120843589E-2;2,138823809E-2
2,063233542E0;6,319835130E-4;-4,006219804E-3;2,091022789E-2;2,129992561E-2
2,073290542E0;3,628069405E-3;3,995530363E-3;1,462096274E-2;1,558523987E-2
2,083347542E0;6,229970735E-3;-7,469160184E-3;3,990724683E-3;1,051317139E-2
2,093405542E0;-1,299278727E-3;-1,361752572E-2;1,341468215E-2;1,915930137E-2
2,103462542E0;3,252696432E-3;-2,131326551E-2;2,584001541E-2;3,365325715E-2
2,113519542E0;4,829434678E-3;-1,252332894E-2;1,087874472E-2;1,727727680E-2
2,123576542E0;-2,985149771E-3;-5,983839501E-3;1,701949060E-2;1,828607434E-2
2,133634542E0;5,454401532E-3;-2,604861483E-3;1,073373377E-2;1,231863792E-2
2,143691542E0;1,336983218E-2;-1,141984971E-2;1,821758509E-2;2,531888201E-2
